comp_name,duplicate_name
1a2y_B+A|C,1bvk_B+A|C
1a2y_B+A|C,1g7j_B+A|C
1a2y_B+A|C,1kir_B+A|C
1a2y_B+A|C,1bvk_E+D|F
1a2y_B+A|C,1kip_B+A|C
1nby_B+A|C,1xgr_B+A|C
1nby_B+A|C,1xgq_B+A|C
1nby_B+A|C,1dqj_B+A|C
1nby_B+A|C,1nbz_B+A|C
1nby_B+A|C,1xgt_B+A|C
1nby_B+A|C,1xgu_B+A|C
1nby_B+A|C,1xgp_B+A|C
1g7m_B+A|C,1vfb_B+A|C
1g7m_B+A|C,1g7i_B+A|C
1g7m_B+A|C,1g7l_B+A|C
1g7m_B+A|C,1a2y_B+A|C
1g7m_B+A|C,1g7h_B+A|C
1g7m_B+A|C,1bvk_B+A|C
1g7m_B+A|C,1g7j_B+A|C
1g7m_B+A|C,1kir_B+A|C
1g7m_B+A|C,1bvk_E+D|F
1g7m_B+A|C,1kip_B+A|C
6mfp_C+D|A,6mfp_H+L|G
5vl3_C+D|S,5vl3_H+L|Q
5vl3_C+D|S,5vl3_A+B|R
5vl3_C+D|S,5vl3_E+F|T
6jb2_A|B,1zvy_A|B
6jb2_A|B,6jb5_A|B
6jb2_A|B,6jb8_A|B
6hhd_D|C,6hhd_B|A
6hhd_D|C,6her_B|A
6cwg_B|A,6cwg_D|C
1g7h_B+A|C,1vfb_B+A|C
1g7h_B+A|C,1g7i_B+A|C
1g7h_B+A|C,1g7l_B+A|C
1g7h_B+A|C,1a2y_B+A|C
1g7h_B+A|C,1g7m_B+A|C
1g7h_B+A|C,1bvk_B+A|C
1g7h_B+A|C,1g7j_B+A|C
1g7h_B+A|C,1kir_B+A|C
1g7h_B+A|C,1bvk_E+D|F
1g7h_B+A|C,1kip_B+A|C
1mlc_D+C|F,1mlc_B+A|E
4g6j_H+L|A,5bvp_H+L|I
3jab_H+L|C,3jab_Q+R|O
1zvy_A|B,6jb2_A|B
1zvy_A|B,6jb5_A|B
1zvy_A|B,6jb8_A|B
3hi6_H+L|A,3hi6_X+Y|B
3ulv_H+L|A,3ulu_H+L|A
