comp_name,duplicate_name
3rvx_D:C|A,5vph_D:C|A
5vco_D:C|E,5vco_B:A|F
5vco_D:C|E,4pp2_D:C|E
5vco_D:C|E,4pp2_B:A|F
4rfn_B:C|A,4rfn_H:L|G
6pz8_H:L|B,6pz8_C:G|J
6pz8_H:L|B,6pz8_D:K|F
3rvw_D:C|A,3rvx_D:C|A
3rvw_D:C|A,5vpg_D:C|A
3rvw_D:C|A,5vph_D:C|A
5gs0_F:E|B,3ulu_D:C|A
5gs0_F:E|B,5gs0_D:C|A
5gs0_F:E|B,3ulv_D:C|A
5if0_A:B|I,5ies_H:L|C
5if0_A:B|I,5if0_H:L|G
4etq_A:B|X,4etq_H:L|C
3eoa_B:A|J,3eob_H:L|I
3eoa_B:A|J,3eoa_H:L|I
3eoa_B:A|J,3eob_B:A|J
5vl3_E:F|T,5vl3_H:L|Q
5vl3_E:F|T,5vl3_C:D|S
1kir_B:A|C,1vfb_B:A|C
1kir_B:A|C,1g7i_B:A|C
1kir_B:A|C,1g7l_B:A|C
1kir_B:A|C,1a2y_B:A|C
1kir_B:A|C,1g7m_B:A|C
1kir_B:A|C,1g7h_B:A|C
1kir_B:A|C,1bvk_B:A|C
1kir_B:A|C,1g7j_B:A|C
1kir_B:A|C,1fdl_H:L|Y
1kir_B:A|C,1bvk_E:D|F
1kir_B:A|C,1kip_B:A|C
1p2c_E:D|F,1p2c_B:A|C
5ggr_A:B|Y,5ggr_H:L|Z
3ulv_D:C|A,3ulu_D:C|A
3ulv_D:C|A,5gs0_D:C|A
3ulv_D:C|A,5gs0_F:E|B
3ulu_H:L|A,3ulv_H:L|A
5vpg_D:C|A,3rvx_D:C|A
5vpg_D:C|A,3rvw_D:C|A
5vpg_D:C|A,5vph_D:C|A
5ugy_H:L|A,5ugy_I:M|C
5ugy_H:L|A,5ugy_J:N|E
4i2x_B:A|E,4i2x_D:C|F
5vpl_D:C|A,3rvv_D:C|A
4pp2_D:C|E,5vco_B:A|F
4pp2_D:C|E,5vco_D:C|E
4pp2_D:C|E,4pp2_B:A|F
5tru_h:l|c,5tru_H:L|C
6niu_M:N|E,6niu_I:J|A
6niu_M:N|E,6niu_H:L|Z
6niu_M:N|E,6niu_F:G|B
5vph_D:C|A,3rvx_D:C|A
5vph_D:C|A,3rvw_D:C|A
5vph_D:C|A,5vpg_D:C|A
5ies_H:L|C,5if0_A:B|I
5ies_H:L|C,5if0_H:L|G
4rfn_H:L|G,4rfn_B:C|A
1fdl_H:L|Y,1vfb_B:A|C
1fdl_H:L|Y,1g7i_B:A|C
1fdl_H:L|Y,1g7l_B:A|C
1fdl_H:L|Y,1a2y_B:A|C
1fdl_H:L|Y,1g7m_B:A|C
1fdl_H:L|Y,1g7h_B:A|C
1fdl_H:L|Y,1bvk_B:A|C
1fdl_H:L|Y,1g7j_B:A|C
1fdl_H:L|Y,1kir_B:A|C
1fdl_H:L|Y,1bvk_E:D|F
1fdl_H:L|Y,1kip_B:A|C
5c7x_M:N|B,5c7x_H:L|A
1bvk_E:D|F,1vfb_B:A|C
1bvk_E:D|F,1g7i_B:A|C
1bvk_E:D|F,1g7l_B:A|C
1bvk_E:D|F,1a2y_B:A|C
1bvk_E:D|F,1g7m_B:A|C
1bvk_E:D|F,1g7h_B:A|C
1bvk_E:D|F,1bvk_B:A|C
1bvk_E:D|F,1g7j_B:A|C
1bvk_E:D|F,1kir_B:A|C
1bvk_E:D|F,1fdl_H:L|Y
1bvk_E:D|F,1kip_B:A|C
6pxh_H:L|B,6pxh_C:D|A
5if0_H:L|G,5if0_A:B|I
5if0_H:L|G,5ies_H:L|C
4ogy_M:N|B,4ogy_H:L|A
4ogy_M:N|B,4ogx_H:L|A
5ugy_J:N|E,5ugy_I:M|C
5ugy_J:N|E,5ugy_H:L|A
6hx4_I:M|A,6hx4_H:L|B
6rcu_E:D|A,6rcv_J:I|F
6rcu_E:D|A,6rcv_E:D|A
3eob_B:A|J,3eob_H:L|I
3eob_B:A|J,3eoa_H:L|I
3eob_B:A|J,3eoa_B:A|J
3u4e_H:L|G,3u4e_A:B|J
5nh3_H:L|A,5nh3_I:M|B
1xgt_B:A|C,1xgr_B:A|C
1xgt_B:A|C,1nby_B:A|C
1xgt_B:A|C,1xgq_B:A|C
1xgt_B:A|C,1dqj_B:A|C
1xgt_B:A|C,1nbz_B:A|C
1xgt_B:A|C,1xgu_B:A|C
1xgt_B:A|C,1xgp_B:A|C
3jab_Q:R|O,3jab_H:L|C
3wih_H:L|A,3wih_I:M|B
1ahw_B:A|C,1ahw_E:D|F
3ulu_F:E|A,3ulv_F:E|A
3ulv_F:E|A,3ulu_F:E|A
3u4e_A:B|J,3u4e_H:L|G
3l5w_H:L|I,3l5w_B:A|J
3l5w_H:L|I,3l5x_H:L|A
6s3t_E:I|T,6s3t_N:M|A
6s3t_E:I|T,6s3t_R:Q|B
6s3t_E:I|T,6s3t_D:C|S
5c7x_H:L|A,5c7x_M:N|B
1xgu_B:A|C,1xgr_B:A|C
1xgu_B:A|C,1nby_B:A|C
1xgu_B:A|C,1xgq_B:A|C
1xgu_B:A|C,1dqj_B:A|C
1xgu_B:A|C,1nbz_B:A|C
1xgu_B:A|C,1xgt_B:A|C
1xgu_B:A|C,1xgp_B:A|C
3wih_I:M|B,3wih_H:L|A
6rcv_C:B|A,6rcv_H:G|F
5w06_H:L|T,4m7l_H:L|T
4pp2_B:A|F,5vco_B:A|F
4pp2_B:A|F,5vco_D:C|E
4pp2_B:A|F,4pp2_D:C|E
5bvp_H:L|I,4g6j_H:L|A
1xgp_B:A|C,1xgr_B:A|C
1xgp_B:A|C,1nby_B:A|C
1xgp_B:A|C,1xgq_B:A|C
1xgp_B:A|C,1dqj_B:A|C
1xgp_B:A|C,1nbz_B:A|C
1xgp_B:A|C,1xgt_B:A|C
1xgp_B:A|C,1xgu_B:A|C
6a4k_K:O|D,6a4k_I:M|B
3rvv_D:C|A,5vpl_D:C|A
6rcv_E:D|A,6rcv_J:I|F
6rcv_E:D|A,6rcu_E:D|A
1kip_B:A|C,1vfb_B:A|C
1kip_B:A|C,1g7i_B:A|C
1kip_B:A|C,1g7l_B:A|C
1kip_B:A|C,1a2y_B:A|C
1kip_B:A|C,1g7m_B:A|C
1kip_B:A|C,1g7h_B:A|C
1kip_B:A|C,1bvk_B:A|C
1kip_B:A|C,1g7j_B:A|C
1kip_B:A|C,1kir_B:A|C
1kip_B:A|C,1fdl_H:L|Y
1kip_B:A|C,1bvk_E:D|F
5x0t_C:D|F,5x0t_A:B|E
2fd6_H:L|U,3bt2_H:L|U
6oge_C:B|A,1s78_F:E|B
6oge_C:B|A,1s78_D:C|A
4s10_B|D,4s10_A|C
5hgg_T|A,5hgg_S|B
6cwg_D|C,6cwg_B|A
5jmo_C|A,5jmo_D|B
4s10_A|C,4s10_B|D
6jb2_A|B,1zvy_A|B
6jb2_A|B,6jb5_A|B
6jb2_A|B,6jb8_A|B
6hhd_D|C,6hhd_B|A
6hhd_D|C,6her_B|A
6cwg_B|A,6cwg_D|C
1zvy_A|B,6jb2_A|B
1zvy_A|B,6jb5_A|B
1zvy_A|B,6jb8_A|B
6hhd_B|A,6hhd_D|C
6hhd_B|A,6her_B|A
5vnw_C|B,5vnw_D|A
6jb5_A|B,6jb2_A|B
6jb5_A|B,1zvy_A|B
6jb5_A|B,6jb8_A|B
5hgg_S|B,5hgg_T|A
5vnw_D|A,5vnw_C|B
6jb8_A|B,6jb2_A|B
6jb8_A|B,1zvy_A|B
6jb8_A|B,6jb5_A|B
5sv3_C|D,5sv3_A|B
5jmo_D|B,5jmo_C|A
6her_B|A,6hhd_D|C
6her_B|A,6hhd_B|A
5sv3_A|B,5sv3_C|D
6k67_A|B,6k67_C|D
6k67_C|D,6k67_A|B
