candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
1g7h_B+A|C_18,U:U,1G7H,1.85,xray,B:A,C,1VFA,1.8,xray,B:A,6F1P,1.12,xray,A,1,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_19,U:U,1G7H,1.85,xray,B:A,C,1A7R,2.01,xray,H:L,6F1P,1.12,xray,A,2,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_20,U:U,1G7H,1.85,xray,B:A,C,1A7N,2.01,xray,H:L,6F1O,0.96,xray,A,3,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_21,U:U,1G7H,1.85,xray,B:A,C,1A7P,2.01,xray,H:L,6F1O,0.96,xray,A,4,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_22,U:U,1G7H,1.85,xray,B:A,C,1A7Q,2.0,xray,H:L,6F1O,0.96,xray,A,11,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_23,U:U,1G7H,1.85,xray,B:A,C,1VFA,1.8,xray,B:A,6F1O,0.96,xray,A,1,0,NA,0,0,0,0,0,0,0,0
1g7h_B+A|C_24,U:U,1G7H,1.85,xray,B:A,C,1A7R,2.01,xray,H:L,6F1O,0.96,xray,A,2,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_0,U:U,1KIR,2.0,xray,B:A,C,1VFA,1.8,xray,B:A,6F1P,1.12,xray,A,1,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_1,U:U,1KIR,2.0,xray,B:A,C,1A7Q,2.0,xray,H:L,6F1P,1.12,xray,A,11,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_2,U:U,1KIR,2.0,xray,B:A,C,1A7N,2.01,xray,H:L,6F1P,1.12,xray,A,3,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_3,U:U,1KIR,2.0,xray,B:A,C,1A7P,2.01,xray,H:L,6F1P,1.12,xray,A,4,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_4,U:U,1KIR,2.0,xray,B:A,C,1A7R,2.01,xray,H:L,6F1P,1.12,xray,A,2,0,NA,0,0,0,0,0,0,0,0
1kir_B+A|C_5,U:U,1KIR,2.0,xray,B:A,C,1VFA,1.8,xray,B:A,6P4D,1.05,xray,A,1,3,NA,0,0,0,0,0,0,0,0
